batch,point,distance,calc_lr_es,calc_lr_pol,calc_lr_disp,calc_lr_tot,ref_lr_es,ref_lr_pol,ref_lr_disp,ref_lr_tot,delta_lr_es,delta_lr_pol,delta_lr_disp,delta_lr_tot
080,11,7.884823672264265,3714621.539888151,-1454066.9381604306,-0.272196820608583,2260554.3295309,-1.1720032555765494,-0.05603282708248414,-0.21346503305320316,-1.4415011157122366,3714622.7118914067,-1454066.8821276035,-0.05873178755537986,2260555.771032016
100,0,3.837015142130719,81743120.42776026,-3571848.526174277,-608.2684477398298,78170663.63313824,-9.716336185182607,-15.149179155093853,-273.76876018335975,-298.63427552363623,81743130.14409645,-3571833.376995122,-334.49968755647,78170962.26741377
100,1,4.045256260121644,85232484.99769759,-3116269.1356169432,-294.8886562958184,82115920.97342436,-10.743571262167054,-9.916267614375139,-140.47529573742813,-161.1351346139703,85232495.74126886,-3116259.219349329,-154.41336055839028,82116082.10855897
100,2,4.253917871409249,79253410.8819502,-2796753.4243848473,-153.26283588414412,76456504.19472946,-10.84270216552031,-6.844654884835579,-77.19136576315489,-94.87872281351078,79253421.72465236,-2796746.5797299626,-76.07147012098923,76456599.07345228
100,3,4.4629427776611434,69737241.20007078,-2512828.4737952054,-84.74835471865175,67224327.97792086,-10.448917125373038,-4.891889686728602,-44.99747841490161,-60.33828522700325,69737251.6489879,-2512823.5819055187,-39.75087630375015,67224388.31620608
100,4,4.672280726522933,59576902.978808776,-2264185.7635837346,-49.51092896938593,57312667.704296075,-9.818268843791694,-3.583188027741228,-27.60259741505108,-41.004054286584,59576912.79707762,-2264182.180395707,-21.90833155433485,57312708.70835036
100,5,5.091742579025466,41850244.18045158,-1885449.7943534628,-19.41977906201074,39964774.966319054,-8.3598991850795,-2.0275944370425876,-11.771591523773736,-22.159085145895823,41850252.540350765,-1885447.7667590256,-7.6481875382370035,39964797.1254042
100,6,5.512052434652442,29135626.46064056,-1637325.489597343,-8.831963615524394,27498292.1390796,-6.991298597228598,-1.2113347958466942,-5.714644114967976,-13.917277508043268,29135633.45193916,-1637324.278262547,-3.117319500556418,27498306.056357108
100,7,5.933030986169297,20579291.950245403,-1497527.2125219405,-4.4922338394560875,19081760.245489623,-5.834738383003534,-0.755726832751237,-3.054194107944026,-9.644659323698797,20579297.784983784,-1497526.4567951078,-1.4380397315120614,19081769.89014895
100,8,6.354544724970376,14883602.06961692,-1410545.6756308656,-2.4880764563575664,13473053.905909598,-4.889741184982634,-0.4889172779902795,-1.7557690431243502,-7.134427506097264,14883606.959358104,-1410545.1867135877,-0.7323074132332161,13473061.040337104
100,9,6.987607662072189,9627722.483347366,-1337047.200174261,-1.1553213178320068,8290674.127851787,-3.798210299420317,-0.2693042748043455,-0.8480663930920491,-4.9155809673167115,9627726.281557664,-1337046.930869986,-0.30725492473995764,8290679.043432754
100,10,7.621410375537021,6618181.854057741,-1300025.0425013285,-0.5962864240772758,5318156.215269988,-2.998635982047519,-0.1569767190870497,-0.4493673133542031,-3.604980014488772,6618184.8526937235,-1300024.8855246094,-0.14691911072307273,5318159.820250003
100,11,8.255781547116605,4818800.823524353,-1279182.8557870071,-0.33279700834212345,3539617.6349403374,-2.4044830486348765,-0.09586961189430054,-0.2553509237611115,-2.7557035842902886,4818803.228007401,-1279182.7599173952,-0.07744608458101193,3539620.3906439217
120,0,3.2155946708250798,-558623572.6154057,-4226469.385126233,-771.209208916612,-562850813.2097409,-15.023212034852323,-14.074244388768351,-271.6679804921749,-300.76543691579553,-558623557.5921936,-4226455.310881845,-499.5412284244372,-562850512.444304
120,1,3.438200662708513,-334100902.61068755,-3795630.0537490845,-339.44927925467516,-337896872.1137159,-15.091993644269559,-8.488544486360565,-133.68644238467232,-157.26698051530244,-334100887.5186939,-3795621.565204598,-205.76283687000284,-337896714.84673536
120,2,3.6637757808871134,-217849157.31363666,-3284945.830432415,-164.70500624041276,-221134267.84907532,-14.487033193944258,-5.504830004182262,-71.79511186204647,-91.78697506017299,-217849142.82660347,-3284940.325602411,-92.90989437836629,-221134176.06210026
120,3,3.8918061881997468,-152356440.304997,-2820059.0329298377,-86.57686872080686,-155176585.91479555,-13.45057859201078,-3.738600357618319,-41.18815288848486,-58.37733183811396,-152356426.8544184,-2820055.2943294803,-45.388715832322,-155176527.5374637
120,4,4.121883883246102,-112221799.23685911,-2435385.1107021123,-48.70543972316962,-114657233.05300094,-12.219114890786424,-2.6205159893738355,-24.95693854219471,-39.79656942235497,-112221787.01774423,-2435382.4901861227,-23.74850118097491,-114657193.25643152
120,5,4.5869464397430395,-67336387.05238405,-1977482.935367778,-18.171238816795444,-69313888.15899064,-9.753544426392226,-1.3760718428058514,-10.457018074327042,-21.58663434352512,-67336377.29883963,-1977481.559295935,-7.714220742468402,-69313866.5723563
120,6,5.057043223981659,-43883335.85510325,-1735661.246752344,-8.005979535955856,-45619005.10783513,-7.677622064139696,-0.7719126086070087,-5.007326812767243,-13.456861485513947,-43883328.17748118,-1735660.4748397355,-2.998652723188613,-45618991.65097364
120,7,5.530893560883311,-30088154.839379936,-1660313.8910714462,-3.9728856551014173,-31748472.703337036,-6.06590034457278,-0.4557559750479401,-2.6381523614745195,-9.159808681095239,-30088148.773479592,-1660313.4353154711,-1.3347332936268979,-31748463.543528356
120,8,6.007607293852374,-21320284.346675575,-1613874.4384576343,-2.151415383230141,-22934160.93654859,-4.843474022458208,-0.280649756790913,-1.4917867887754688,-6.61591056802459,-21320279.50320155,-1613874.1578078775,-0.6596285944546723,-22934154.320638023
120,9,6.726715054241585,-13191015.065238697,-1573257.6085854582,-0.9666220140408248,-14764273.64044617,-3.53962310478038,-0.14475558971562874,-0.7004837759644359,-4.384862470460445,-13191011.525615593,-1573257.4638298685,-0.2661382380763889,-14764269.255583698
120,10,7.449420875453526,-8330281.842584051,-1562075.2812525667,-0.4830331246798443,-9892357.606869742,-2.6605017786196696,-0.07965814528772208,-0.36013530686471174,-3.1002952307721037,-8330279.182082272,-1562075.2015944214,-0.12289781781513254,-9892354.506574512
120,11,8.174768193102853,-5261520.487087505,-1562671.7936938256,-0.2613372064973073,-6824192.542118537,-2.050208952787892,-0.046241458755929,-0.19859264098009202,-2.2950430525239134,-5261518.436878552,-1562671.7474523669,-0.06274456551721527,-6824190.247075485
140,0,4.187150132409826,-414249189.2380611,-3643857.054080248,-78.89988509788951,-417893125.19202644,0.33977636019093027,-3.5186070820456186,-50.84478159573234,-54.02361231758703,-414249189.5778374,-3643853.535473166,-28.055103502157166,-417893071.1684141
140,1,4.388159020415036,-335912472.28115845,-3094250.865256846,-48.06768804548417,-339006771.21410334,-0.04808494769970451,-2.6257253251904595,-29.568544249290305,-32.24235452218047,-335912472.2330735,-3094248.2395315208,-18.499143796193863,-339006738.9717488
140,2,4.589446218818053,-275486402.92171687,-2675379.4662048817,-30.64690521239595,-278161813.03482693,-0.29157110889516047,-2.0022343138638767,-18.69884870374421,-20.992654126503247,-275486402.6301458,-2675377.463970568,-11.948056508651739,-278161792.0421728
140,3,4.790978828527813,-227714007.26487857,-2357235.027856171,-20.283211432630964,-230071262.57594618,-0.4426079353184684,-1.5528497939982275,-12.50658827034287,-14.502045999659567,-227714006.82227063,-2357233.4750063773,-7.776623162288093,-230071248.0739002
140,4,4.992724306456319,-189389278.8605041,-2108592.7628145516,-13.855171831953832,-191497885.47849047,-0.5333908003400276,-1.2209179819954405,-8.705337551091489,-10.459646333426956,-189389278.3271133,-2108591.5418965695,-5.149834280862343,-191497875.01884413
140,5,5.39676209222573,-133024132.69230992,-1772261.7839424312,-6.989731775162186,-134796401.46598414,-0.6090104251581978,-0.7798333831279789,-4.588006595882881,-5.976850404169058,-133024132.08329949,-1772261.004109048,-2.401725179279305,-134796395.48913375
140,6,5.8014009911936775,-95113527.912577,-1589755.0753634572,-3.8330190453059214,-96703286.82095951,-0.6112882820446452,-0.5158067811277487,-2.619243949864911,-3.7463390130373053,-95113527.30128872,-1589754.559556676,-1.2137750954410103,-96703283.0746205
140,7,6.206524234166627,-69102280.79442488,-1476149.7497179061,-2.2436453861041445,-70578432.78778817,-0.5815500381731196,-0.35099682607626126,-1.5849166477337533,-2.5174635119831343,-69102280.21287484,-1476149.39872108,-0.6587287383703913,-70578430.27032466
140,8,6.61204193141582,-50937868.630380526,-1417400.6131986678,-1.3836056983091432,-52355270.62718489,-0.5390834124345305,-0.24467582448324343,-1.0035922145866683,-1.7873514515044422,-50937868.09129711,-1417400.3685228433,-0.3800134837224749,-52355268.83983344
140,9,7.220914108732497,-33021717.69665435,-1369623.6450275034,-0.7239126469208155,-34391342.0655945,-0.47019320673405196,-0.1480075311693113,-0.5408737465103663,-1.1590744844137295,-33021717.226461142,-1369623.4970199722,-0.18303890041044912,-34391340.90652002
140,10,7.830352107156619,-21935653.2963632,-1341728.0387388393,-0.4074348545409394,-23277381.742536895,-0.40543594378371295,-0.09314255762160006,-0.3108323774273499,-0.8094108788326629,-21935652.89092726,-1341727.9455962817,-0.09660247711358949,-23277380.933126017
140,11,8.440233575236388,-14854310.970047025,-1326374.2458441257,-0.24283245430269554,-16180685.458723605,-0.34857571383401775,-0.06062250220492377,-0.1880361341056847,-0.5972343501446262,-14854310.621471312,-1326374.1852216236,-0.054796320197010834,-16180684.861489255
160,0,4.792554473069052,-85263412.83661066,-4966322.901597887,-304.3813390956833,-90230040.11954765,-27.425369726113974,-16.185642649685075,-154.24559139759722,-197.85660377339627,-85263385.41124094,-4966306.715955238,-150.13574769808608,-90229842.26294388
160,1,5.000345902664628,-191073116.49558666,-4351222.399763942,-156.56879153252999,-195424495.46414214,-24.70526754263481,-10.880634632119321,-82.45265356248706,-118.03855573724118,-191073091.79031911,-4351211.51912931,-74.11613797004293,-195424377.4255864
160,2,5.208179295855608,-222224143.8377039,-3702023.1881064177,-85.33628332253708,-225926252.36209366,-22.25471562028274,-7.575556218448362,-47.006390195575534,-76.83666203430664,-222224121.5829883,-3702015.612550199,-38.32989312696155,-225926175.52543163
160,3,5.416052429991,-217392872.13999844,-3145176.8929216266,-49.03855079472414,-220538098.07147086,-20.067383281859843,-5.422376420525172,-28.30756863958994,-53.79732834197496,-217392852.07261515,-3145171.470545206,-20.730982155134196,-220538044.2741425
160,4,5.6239584225150585,-197409007.87091732,-2731233.6297144294,-29.555502624155466,-200140271.05613437,-18.12384779517916,-3.9702658482017448,-17.855259988967877,-39.94937363234878,-197408989.74706954,-2731229.6594485813,-11.700242635187589,-200140231.10676074
160,5,6.039860046236087,-148192597.1341868,-2184590.073294103,-12.13776601428681,-150377199.3452469,-14.871486541510766,-2.24813986807332,-7.945231435015119,-25.064857844599203,-148192582.26270026,-2184587.825154235,-4.19253457927169,-150377174.28038907
160,6,6.455860269091848,-106444565.16802041,-1845668.612241447,-5.696848243815455,-108290239.4771101,-12.309637761955297,-1.3488456150105552,-3.9692168091667526,-17.627700186132607,-106444552.85838266,-1845667.263395832,-1.7276314346487025,-108290221.84940992
160,7,6.871941300785847,-75947291.56855571,-1651103.9659698308,-2.9657866404886835,-77598398.50031218,-10.279892910529146,-0.8471463309431932,-2.1636056904105487,-13.290644931882888,-75947281.2886628,-1651103.1188235,-0.8021809500781347,-77598385.20966725
160,8,7.288087622913709,-54549571.04864901,-1572585.126372382,-1.6736579986380438,-56122157.84867939,-8.65903546549492,-0.5523616471517911,-1.2619457943031902,-10.473342906949902,-54549562.38961355,-1572584.574010735,-0.41171220433485356,-56122147.37533648
160,9,7.912412915301463,-33923559.44640995,-1520237.0339928567,-0.7957770599819931,-35443797.276179865,-6.796204997871301,-0.3080397803795094,-0.6198258403255685,-7.724070618576379,-33923552.65020495,-1520236.7259530763,-0.17595121965642457,-35443789.55210925
160,10,8.536835365118977,-21663078.656483293,-1496718.7564025521,-0.41942503085651717,-23159797.832310874,-5.423491800126153,-0.18177207565841336,-0.3330899573552465,-5.938353833139813,-21663073.232991494,-1496718.5746304765,-0.08633507350127068,-23159791.89395704
160,11,9.161336490728116,-14142345.530918531,-1486925.6380306035,-0.23866998617875818,-15629271.40761912,-4.392890046079976,-0.11232926505286667,-0.19176812495580176,-4.696987436088644,-14142341.138028486,-1486925.5257013384,-0.04690186122295642,-15629266.710631685
180,0,2.8932456028643627,-426420993.70280224,-6248119.112441599,-566.1730269714576,-432669678.9882708,-29.71258397729727,-20.65889528200502,-320.1291663208484,-370.5006455801507,-426420963.9902183,-6248098.453546317,-246.0438606506092,-432669308.48762524
180,1,3.110218662286823,-245709363.66143256,-4953692.829399705,-286.5750995642884,-250663343.06593183,-27.12467149714618,-13.202286251895245,-161.87799499856715,-202.20495274760856,-245709336.53676108,-4953679.627113453,-124.69710456572125,-250663140.86097908
180,2,3.3312047693390534,-167131111.63552588,-4105622.0871709287,-155.03291698527593,-171236888.7556138,-24.3437988382044,-8.851403309418984,-88.70879868314583,-121.9040008307692,-167131087.29172704,-4105613.235767619,-66.3241183021301,-171236766.851613
180,3,3.555454587537122,-138201786.95569143,-3393969.149650365,-88.64871819369309,-141595844.75406,-21.56870703561312,-6.095270600077626,-51.72300214135538,-79.38697977704612,-138201765.38698438,-3393963.054379765,-36.925716052337705,-141595765.3670802
180,4,3.7823878968734275,-126313446.56432723,-2938564.502518326,-53.20295927850382,-129252064.26980484,-18.9692400961907,-4.279734557345794,-31.756082043140456,-55.005056696676945,-126313427.59508713,-2938560.2227837685,-21.446877235363363,-129252009.26474814
180,5,4.242576783317732,-108946371.97351514,-2325558.4806956947,-21.62478807049902,-111271952.07899891,-14.581740791293894,-2.2143455114714268,-13.547313686009923,-30.343399988775246,-108946357.39177434,-2325556.266350183,-8.077474384489095,-111271921.73559892
180,6,4.709133336868423,-89015449.93424825,-1900854.1576960087,-9.975453291912462,-90916314.06739755,-11.273531698913454,-1.21132090875256,-6.540723500518244,-19.025576108184257,-89015438.66071655,-1900852.9463751,-3.4347297913942185,-90916295.04182144
180,7,5.180335802275374,-69801346.96556906,-1612529.2656167597,-5.061634476408037,-71413881.2928203,-8.82477257986587,-0.6950598984293048,-3.450542337395645,-12.970374815690821,-69801338.14079648,-1612528.570556861,-1.611092139012392,-71413868.32244548
180,8,5.655024516655558,-53644227.51430056,-1446097.9575166032,-2.764980820789592,-55090328.23679799,-7.00582501552554,-0.4157225756482905,-1.9453113207929227,-9.366858911966753,-53644220.50847555,-1446097.5417940274,-0.8196694999966692,-55090318.869939074
180,9,6.371886849842693,-35663822.844882354,-1320723.398625493,-1.2422347179966602,-36984547.48574256,-5.0851087847952545,-0.205620561173661,-0.9054168153206763,-6.196146161289592,-35663817.75977357,-1320723.1930049318,-0.3368179026759839,-36984541.2895964
180,10,7.092981587419963,-23687135.883136675,-1268181.5102980584,-0.6162517419435892,-24955318.009686474,-3.7963320870515282,-0.10891310195429948,-0.46035800077257283,-4.3656031897784,-23687132.086804587,-1268181.4013849564,-0.1558937411710164,-24955313.644083284
180,11,7.8171383132705,-15816604.835734524,-1247410.975642871,-0.3300844464462114,-17064016.14146184,-2.9043745588708045,-0.061111481555142344,-0.25090744611130333,-3.21639348653725,-15816601.931359965,-1247410.9145313895,-0.07917700033490804,-17064012.925068356
